code,name,description
0101,马、驴、骡,"01.01 马、驴、骡：
 — 马：
 21 — — 改良种用
 29 — — 其他
 30 — 驴
 90 — 其他
 
 本品目包括马（母马、未阉雄马、已阉雄马、马驹、矮种马）、驴、马骡及驴骡，不论是畜养或野生的。
 马骡是公驴和母马杂交所生。驴骡是公马和母驴杂交所生。
○
○ ○"
0102,牛,"01.02 牛：
 — 家牛：
 21 — — 改良种用
 29 — — 其他
 — 水牛：
 31 — — 改良种用
 39 — — 其他
 90 — 其他
 
 本品目包括所有的牛亚科动物，不论是否畜养，也不论其用途如何（例如，繁殖、饲养、育肥、育种、屠宰）。它们主要包括：
 一、家牛: 
 本类包括牛属动物，分为四个亚属：牛亚属、犍牛亚属、林牛亚属和牦牛亚属。主要包括: 
 (一)普通黄牛、瘤牛（驼牛）及瓦图西牛。
 (二)亚洲犍亚属牛，例如，白肢野牛、大额牛及白臀野牛（爪哇野牛）。 
 (三)牦牛亚属动物，例如，西藏牦牛。 
 二、水牛: 
 本类包括水牛属、非洲野牛属和美洲野牛属动物。主要包括： 
 (一)水牛属动物，包括印度水牛、亚洲水牛、野水牛、印尼西里伯斯小型野牛、俾格米矮水牛。
 (二)非洲野牛属动物，例如，刚果水牛及非洲水牛。
 (三)美洲野牛属动物，例如，美洲野牛或“北美水牛”及欧洲野牛。 
 (四)肉封牛（野牛和家用肉牛的杂交牛）。
 三、其他，包括四角羚和扭角羚羊属及薮羚属。
○
○ ○"
0103,猪,"01.03 猪：
 10 — 改良种用
 — 其他：
 91 — — 重量在50千克以下
 92 — — 重量在50千克及以上
 
 本品目包括畜养及野生的猪（例如，野公猪）。
○
○ ○"
0104,绵羊、山羊,"01.04 绵羊、山羊：
 10 — 绵羊
 20 — 山羊
 
 本品目包括畜养或野生的绵羊（牡羊、牝羊及羔羊）、山羊及小山羊。
 
关 闭"
0105,家禽，即鸡、鸭、鹅、火鸡及珍珠鸡,"01.05 家禽，即鸡、鸭、鹅、火鸡及珍珠鸡(+)：
 — 重量不超过185克：
 11 — — 鸡
 12 — — 火鸡
 13 — — 鸭
 14 — — 鹅
 15 — — 珍珠鸡
 — 其他：
 94 — — 鸡
 99 — — 其他
 
 本品目仅包括所列的各种活家禽。鸡属家禽包括普通家鸡及阉鸡，但不包括其他活禽〔例如，鹧鸪、野鸡、鸽、野鸭、大雁（品目01.06）〕。
○
○ ○"
0106,其他活动物,"01.06 其他活动物：
 — 哺乳动物：
 11 — — 灵长目
 12 — — 鲸、海豚及鼠海豚（鲸目哺乳动物）；海牛及儒艮（海牛目哺乳动物）；海豹、海狮及海象（鳍足亚目哺乳动物）
 13 — — 骆驼及其他骆驼科动物
 14 — — 家兔及野兔
 19 — — 其他
 20 — 爬行动物（包括蛇及龟鳖）
 — 鸟：
 31 — — 猛禽
 32 — — 鹦形目（包括普通鹦鹉、长尾鹦鹉、金刚鹦鹉及美冠鹦鹉）
 33 — — 鸵鸟；鸸鹋
 39 — — 其他
 — 昆虫：
 41 — — 蜂
 49 — — 其他
 90 — 其他
 
 本品目主要包括以下家养或野生动物：
 一、哺乳动物：
 （一）灵长目。
 （二）鲸、海豚及鼠海豚（鲸目哺乳动物）；海牛及儒艮（海牛目哺乳动物）；海豹、海狮及海象(鳍足亚目哺乳动物)。
 （三）其他〔例如，驯鹿、猫、狗、狮、虎、熊、象、骆驼（包括单峰骆驼）、斑马、家兔、野兔、鹿、羚羊（牛亚科动物除外)、岩羚羊、狐、貂及其他饲养的毛皮动物〕。
 二、爬行动物（包括蛇及龟鳖）。
 三、鸟：
 （一）猛禽。
 （二）鹦形目（包括普通鹦鹉、长尾鹦鹉、金刚鹦鹉及美冠鹦鹉）。
 （三）其他（例如，鹧鸪、野鸡、鹌鹑、丘鹬、沙锥鸟、鸽、松鸡、圃鹀、野鸭、大雁、鸫、乌鸫、云雀、燕雀、山雀、蜂鸟、孔雀、天鹅及品目01.05未列名的其他禽鸟）。
 四、昆虫，例如，蜂（不论是否在流动蜂箱、蜂笼或蜂房内）。
 五、其他，例如，蛙。
 本品目不包括马戏团、流动动物园或其他类似巡回展出用的动物（品目95.08）。
 
关 闭"
0201,鲜、冷牛肉,"02.01 鲜、冷牛肉：
 10 — 整头及半头
 20 — 带骨肉
 30 — 去骨肉
 
 本品目包括鲜或冷藏的品目01.02所列畜养或野生牛属动物的肉。
 
关 闭"
0202,冻牛肉,"02.02 冻牛肉：
 10 — 整头及半头
 20 — 带骨肉
 30 — 去骨肉
 
 本品目包括冻藏的品目01.02所列畜养或野生牛属动物的肉。
 
关 闭"
0203,鲜、冷、冻猪肉,"02.03 鲜、冷、冻猪肉：
 — 鲜或冷的：
 11 — — 整头及半头
 12 — — 带骨的前腿、后腿及其肉块
 19 — — 其他
 — 冻的：
 21 — — 整头及半头
 22 — — 带骨的前腿、后腿及其肉块
 29 — — 其他
 
 本品目包括鲜、冷、冻猪肉，不论是畜养或野生猪（例如，野公猪）的肉。本品目也包括五花肉和带有大量肥肉的类似猪肉，以及带有一层瘦肉的肥猪肉。
 
关 闭"
0204,鲜、冷、冻绵羊肉或山羊肉,"02.04 鲜、冷、冻绵羊肉或山羊肉(+)：
 10 — 鲜或冷的整头及半头羔羊
 — 其他鲜或冷的绵羊肉：
 21 — — 整头及半头
 22 — — 带骨肉
 23 — — 去骨肉
 30 — 冻的整头及半头羔羊
 — 其他冻的绵羊肉：
 41 — — 整头及半头
 42 — — 带骨肉
 43 — — 去骨肉
 50 — 山羊肉
 
 本品目包括鲜、冷、冻绵羊肉（公羊肉、母羊肉和羔羊肉）、山羊肉及小山羊肉，不论家羊或野羊的肉。
○
○ ○"
