code,name,description
1类,活动物；动物产品,"一、本类所称的各属种动物，除条文另有规定的以外，均包括其幼仔在内。  
二、除条文另有规定的以外，本目录所称干的产品，均包括经脱水、蒸发或冷冻干燥的产品。"
2类,植物产品,
3类,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,
4类,食品；饮料、酒及醋；烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,
5类,矿产品,
6类,化学工业及其相关工业的产品,"一、 
（一）凡符合税目 28.44或28.45规定的货品（放射性矿砂除外），应分别归入以上税目而不归入本目录的其他税
目； 
（二）除上述（一）款另有规定的以外，凡符合税目 28.43、28.46或28.52规定的货品，应分别归入这三个税目
而不归入本类的其他税目。  
二、除上述注释一另有规定的以外，凡由于按一定剂量或作为零售包装而可归入税目 30.04、30.05、30.06、32.12、
33.03、33.04、33.05、33.06、33.07、35.06、37.07或38.08的货品，应分别归入以上税目，而不归入本目录的
其他税目。  
三、由两种或两种以上单独成分配套的货品，其部分或全部成分属于本类范围以内，混合后则构成第六类或第七类的货
品，应按混合后产品归入相应的税目，但其组成成分必须同时符合下列条件：  
（一）其包装形式足以表明这些成分不需经过改装就 可一起使用的；  
（二）一起进口或出口的；  
（三）这些成分的属性及相互比例足以表明是相互配用的。  
四、其列名或功能既符合第六类中一个或多个税目的规定，又符合税目 38.27的规定的产品，应按列名或功能归入相应
税目，而不归入税目 38.27。"
7类,塑料及其制品；橡胶及其制品,"一、由两种或两种以上单独成分配套的货品，其部分或全部成分属于本类范围以内，混合后则构成第六类或第七类的货
品，应按混合后产品归入相应的税目，但其组成成分必须同时符合下列条件：  
（一）其包装形式足以表明这些成分不需经过改装就可以一起使用的；  
（二）一起进口或出口的；  
（三）这些成分的属性及相互比例足以表明是相互配用的。  
二、除税目 39.18或39.19的货品外，印有花纹、文字、图画的塑料、橡胶及其制品，如果所印花纹、字画作为其主要用
途，应归入第四十九章。"
8类,生皮、皮革、毛皮及其制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,
9类,木及木制品；木炭；软木及软木制品；稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,
10类,木浆及其他纤维状纤维素浆；回收（废碎）纸或纸板；纸、纸板及其制品,"税目47.02所称“化学木浆，溶解级”，是指温度在 20摄氏度时浸入含 18%氢氧化钠的苛性碱溶液内，一小时后，按重量计
含有92%及以上的不溶级分的碱木浆或硫酸盐木浆， 或者含有 88%及以上的不溶级分的亚硫酸盐木浆。 对于亚硫酸盐木浆，
按重量计灰分含量不得超过 0.15%。"
11类,纺织原料及纺织制品,"一、本类不包括：  
（一）制刷用的动物鬃、毛（税目 05.02） ；马毛及废马毛（税目 05.11）； 
（二）人发及人发制品（税目 05.01、67.03或67.04），但通常用于榨油机或类似机器的滤布除外（税目 59.11）； 
（三）第十四章的棉短绒或其他植物材料；  
（四）税目 25.24的石棉、税目 68.12或68.13的石棉制品或其他产品；  
（五）税目 30.05或30.06的物品；税目 33.06的用于清洁牙缝的纱线（牙线） ，单独零售包装的；  
（六）税目 37.01至37.04的感光布；  
（七）截面尺寸超过 1毫米的塑料单丝和表面宽度超过 5毫米的塑料扁条及类似品（例如人造草） （第三十九章） ，以
及上述单丝或扁条的缏条、织物、篮筐或柳条编结品（第四十六章） ；  
（八）第三十九章的用塑料浸渍、涂布、包覆或层压的机织物、针织物或钩编织物、毡呢或无纺织物及其制品；  
（九）第四 十章的用橡胶浸渍、涂布、包覆或层压的机织物、针织物或钩编织物、毡呢或无纺织物及其制品；  
（十）带毛皮张（第四十一章或第四十三章） 、税目 43.03或43.04的毛皮制品、人造毛皮及其制品；  
（十一）税目 42.01或42.02的用纺织材料制成的物品；  
（十二）第四十八章的产品或物品（例如纤维素絮纸） ；  
（十三）第六十四章的鞋靴及其零件、护腿、裹腿及类似品；  
（十四）第六十五章的发网、其他帽类及其零件；  
（十五）第六十七章的货品；  
（十六）涂有研磨料的纺织材料（税目 68.05）以及税目 68.15的碳纤维及其制品；  
（十七）玻璃纤维及其制品，但可见底布的玻璃线刺绣品除外（第七十章） ；  
（十八）第九十四章的物品（例如，家具、寝具、灯具及照明装置） ；  
（十九）第九十五章的物品（例如，玩具、游戏品、运动用品及网具） ；  
（二十）第九十六章的物品 [例如：刷子、旅行用成套缝纫用具、拉链、打字机色带、卫生巾（护垫）及卫生棉条、
尿布及尿布衬里 ]；或 
（二十一）第九十七章的物品。  
二、 
（一）可归入第五十章至第五十五章及税目 58.09或59.02的由两种或两种以上纺织材料混合制成的货品，应按其中
重量最大的那种纺织材料归类。  
当没有一种纺织材料重量较大时，应按可归入的有关税目中最后一个税目所列的纺织材料归类。  
（二）应用上述规定时：  
1.马毛粗松螺旋花线（税目 51.10）和含金属纱线（税目 56.05）均应作为一种单一的纺织材料，其重量应为
它们在纱线中的合计重量；在机织物的归类中，金属线应作为一种纺织材料；  
2.在选择合适的税目时，应首先确定章，然后再确定该章的有关税目，至于不归入该章的其他材料可不予考
虑； 
3.当归入第五十四章及第五十五章的货品与其他章的货品进行比较时，应将这两章作为一个单一的章对待；  
4.同一章或同一税目所列各种不同的纺织材料应作为单一的纺织材料对待。  
（三）上述（一） 、 （二）两款规定亦适用于以下注释三、四、五或六所述纱线。  
三、 
（一）本类的纱线（单纱、多股纱线或缆线）除下列（二）  款另有规定的以外，凡符合以下规格的应作为“线、绳、
索、缆” ：  
1.丝或绢丝纱线，细度在 20000分特以上；  
2.化学纤维纱线（包括第五十四章的用两根及以上单丝纺成的纱线） ，细度在 10000分特以上；  
3.大麻或亚麻纱线：  
（1）加光或上光的，细度在 1429分特及以上；  
（2）未加光或上光的，细度在 20000分特以上；  
4.三股或三股以上的椰壳纤维纱线；  
5.其他植物纤维纱线，细度在 20000分特以上；  
6.用金属线加强的纱线。  
（二）下列各项不按上述（一）款规定办理：  
 649 1.羊毛或其他动物毛纱线及纸纱线，但用金属线加强的纱线除外；  
2.第五十五章的化学纤维长丝丝束以及第五十四章的未加捻或捻度每米少于 5转的复丝纱线；  
3.税目50.06的蚕胶丝及第五十四章的单丝；  
4.税目56.05的含金属纱线；但用金属线加强的纱线按上述（一）款 6项规定办理；  
5.税目56.06的绳绒线、粗松螺旋花线及纵行起圈纱线。  
四、 
（一）除下列（二）款另有规定的以外，第五十章、第五十一章、第五十二章、第五十四章和第五十五章所称“供
零售用”纱线，是指以下列方式包装的纱线（单纱、股纱线或揽线） ：  
1.绕于纸板、线轴、纱管或类似芯子上，其重量（含线芯）符合下列规定：  
（1）丝、绢丝或化学纤维长丝纱线，不超过 85克；或 
（2）其他纱线，不超过 125克。 
2.绕成团、绞或束，其重量符合下列规定：  
（1）细度在 3000分特以下的化学纤维长丝纱线，丝或绢丝纱线，不超过 85克； 
（2）细度在 2000分特以下的任何其他纱线，不超过 125克； 或 
（3）其他纱线，不超过 500克。 
3.绕成绞或束， 每绞或每束中有若干用线分开的小绞或小束， 每小绞或小束的重量相等， 并且符合下列规定：  
（1）丝、绢丝或化学纤维长丝纱线，不超过 85克； 或 
（2）其他纱线，不超过 125克。 
（二）下列各项不按上述（一）款规定办理：  
1.各种纺织材料制的单纱，但下列两种除外：  
（1）未漂白的羊毛或动物细毛单纱；  
（2）漂白、染色或印色的羊毛或动物细毛单纱，细度在 5000分特以上。  
2.未漂白的多股纱线或缆线：  
（1）丝或绢丝制的，不论何种包装；  或 
（2）除羊毛或动物细毛外其他纺织材料制，成绞或成束的。  
3.漂白、染色或印色丝或绢丝制的多股纱线或缆线，细度在 133分特及以下；  
4.任何纺织材料制的单纱、多股纱线或缆线：  
（1）交叉绕成绞或束的；  或 
（2）绕于纱芯上或以其他方式卷绕，明显用于纺织工业的（例如，绕于纱管、加捻管、纬纱管、锥形筒
管或锭子上的或者绕成蚕茧状以供绣花机使用的纱线） 。  
五、税目 52.04、54.01及55.08所称“缝纫线” ，是指下列多股纱线或缆线：  
（一）绕于芯子（例如，线轴、纱管）上，重量（包括纱芯）不超过 1000克； 
（二）作为缝纫线上过浆的；  
（三）终捻为反手（ Z）捻的。  
六、本类所称“高强力纱” ，是指断裂强度大于下列标准的纱线：  
尼龙、其他聚酰胺或聚酯制的单纱 ——60厘牛顿/特克斯；  
尼龙、其他聚酰胺或聚酯制的多股纱线或缆线 ——53厘牛顿/特克斯；  
粘胶纤维制的单纱、多股纱线或缆线 ——27厘牛顿/特克斯。  
七、本类所称“制成的” ，是指：  
（一）裁剪成除正方形或长方形以外的其他形状的；  
（二）呈制成状态，无需缝纫或其他进一步加工（或仅需剪断分隔联线）即可使用的（例如，某些抹布、毛巾、台
布、方披巾、毯子） ；  
（三）裁剪成一定尺寸，至少有一边为带有可见的锥形或压平形的热封边，其余各边经本注释其他各项所述加工，
但不包括为防止剪边脱纱而用热切法或其他简单方法处理的织物；  
（四）已缝边或滚边，或者在任一边带有结制的流苏，但不包括为防止剪边脱纱而锁边或用其他简单方法处理的织
物； 
（五）裁剪成一定尺寸并经抽纱加工的；  
（六）缝合、胶合或用其他方法拼合而成的（将两段或两段以上相同料子的织物首尾连接而成的匹头，以及由两层
或两层以上的织物，不论中间有无胎料，层叠而成的匹头除外） ；  
（七）针织或钩编成一定形状，不论进口或出 口时是单件还是以若干件相连成幅的。  
八、对于第五十章至第六十章：  
（一）第五十章至第五十五章和第六十章，以及除条文另有规定以外的第五十六章至第五十九章，不适用于上述注
 650 释七所规定的制成货品；  
（二）第五十章至第五十五章及第六十章不包括第五十六章至第五十九章的货品。  
九、第五十章至第五十五章的机织物包括由若干层平行纱线以锐角或直角相互层叠，在纱线交叉点用粘合剂或以热粘合
法粘合而成的织物。  
十、用纺织材料和橡胶线制成的弹性产品归入本类。  
十一、本类所称“浸渍” ，包括“浸泡” 。  
十二、本类所称“聚酰胺” ，包括“芳族聚酰胺” 。  
十三、本类及本目录所称“弹性纱线”是指合成纤维纺织材料制成的长丝纱线（包括单丝，变形纱线除外） 。这些纱线
可拉伸至原长的三倍而不断裂，并可在拉伸至原长两倍后五分钟内回复到不超过原长度的一倍半。  
十四、除条文另有规定的以外，各种服装即使成套包装供零售用，也应按各自税目分别归类。本注释所称“纺织服装” ，
是指税目 61.01至61.14及税目62.01至62.11所列的各种服装。  
十五、除本类注释一另有规定的以外，装有用作附加功能的化学、机械或电子组件（无论是作为内置组件还是组合在纤
维或织物内）的纺织品、服装和其他纺织物，如果其具有本类货品的基本特征，应归入本类相应税目中。  
 
子目注释：  
一、本类及本目录所用有关名词解释如下：  
（一）未漂白纱线：  
1.带有纤维自然色泽并且未经漂染（不论是否整体染色）或印色的纱线；  
2.从回收纤维制得，色泽未定的纱线（本色纱） 。  
这种纱线可用无色浆料或易褪色染料（可轻易地用肥皂洗去）处理，如果是化学纤维纱线，则整体用消光剂
（例如二氧化钛）进行处理。  
（二）漂白纱线：  
1.经漂白加工、用漂白纤维制得或经染白（除条文另有规定的以外） （不论是否整体染色）及用白浆料处理
的纱线；  
2.用未漂白纤维和漂白纤维混纺制得的纱线；  
3.用未漂白纱和漂白纱纺成多股纱线或缆线。  
（三）着色（染色或印色）纱线：  
1.染成彩色（不论是否整体染色，但白色或易褪色除外）或印色的纱线，以及用染色或印色纤维纺制的纱线；  
2.用各色染色纤维混合纺制或用未漂白或漂白纤维与着色纤维混合制得的纱线（夹色纱或混色纱） ，以及用
一种或几种颜色间隔印色而获得点纹印迹的纱线；  
3.用已经印色的纱条或粗纱纺制的纱线；  
4.用未漂白纱和漂白纱与着色纱纺成的多股纱线或缆线。  
上述定义作相应调整后适用于第五十四章的单丝、扁条或类似产品。  
（四）未漂白机织物：  
    用未漂白纱线织成后未经漂白、染色或印花的机织物。这类织物可用无色浆料或易褪色染料处理。    
（五）漂白机织物：  
1.经漂白、染白或用白浆料处理（除条文另有规定的以外）的成匹机织物；  
2.用漂白纱线织成的机织物；  
3.用未漂白纱线和漂白纱线织成的机织物；    
（六）染色机织物：  
1.除条文另有规定的以外，染成白色以外的其他单一颜色或用白色以外的其他有色整理剂处理的成匹机织
物； 
2.用单一颜色的着色纱线织成的机织物。    
（七）色织机织物：  
除印花机织物以外的下列机织物：  
1.用各种不同颜色纱线或同一颜色不同深浅（纤维的自然色彩除外）纱线织成的机织物；  
2.用未漂白或漂白与着色纱线织成的机织物；  
3.用夹色纱线或混色纱线织成的机织物。  
不论何种情况，布边或布头的纱线均可忽略不计。  
（八）印花机织物：  
成匹印花的机织物，不论是否用各色纱线织成。  
用刷子或喷枪，经转印纸转印、植绒或蜡防印花等方法印成花纹图案的机织物亦可视为印花机织物。  
上述各类纱线或织物如经丝光工艺处理并不影响其归类。上述（四）至（八）的定义在作必要修改后适用于
 651 针织或钩编织物。  
（九）平纹组织：  
每根纬纱在并排的经纱间上下交错而过，而每根经纱也在并排的纬纱间上下交错而过的织物组织。  
 二、 
（一）含有两种或两种以上纺织材料的第五十六章至第六十三章的产品，应根据本类注释二对第五十章至第五十五
章或税目 58.09的此类纺织材料产品归类的规定来确定归类。  
（二）运用本条规定时：  
1.应酌情考虑按归类总规则第三条来确定归类；  
2.对由底布和绒面或毛圈面构成的纺织品，在归类时可不考虑底布的属性；  
3.对税目58.10的刺绣品及其制品，归类时应只考虑底布的属性，但不见底布的刺绣品及其制品应根据绣线
的属性确定归类。"
12类,鞋、帽、伞、杖、鞭及其零件；已加工的羽毛及其制品；人造花；人发制品,
13类,石料、石膏、水泥、石棉、云母及类似材料的制品；陶瓷产品；玻璃及其制品,
14类,天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,
15类,贱金属及其制品,"一、本类不包括 ： 
（一）以金属粉末为基本成分的调制油漆、油墨或其 他产品（税目32.07至32.10、32.12、32.13或32.15）； 
（二）铈铁或其他引火合金（税目 36.06）； 
（三）税目 65.06或65.07的帽类及其零件；  
（四）税目 66.03的伞骨及其他物品；  
（五）第七十一章的货品（例如，贵金属合金、以贱金属为底的包贵金属、仿首饰 ）； 
（六）第十六类的物品（机器、机械器具及电气设备）；  
（七）已装配的铁路或电车轨道（税目 86.08）或第十七类的其他物品（车辆、船舶、航空器 ）； 
（八）第十八类的仪器及器具，包括钟表发条；  
（九）做弹药用的铅弹（税目 93.06）或第十九类的其他物品（武器、弹药 ）； 
（十）第九十四章的物品（例如，家具、弹簧床垫、灯具及照明装置、发光标志、活动房屋 ）； 
（十一）第九十五章的物品（例如，玩具、游戏品及运动用品 ）； 
（十二）手用筛子、钮扣、钢笔、铅笔套、钢笔尖、独脚架、双脚架、三脚架及类似品或第九十六章的其他物品（杂
项制品）；或  
（十三）第九十七章的物品（例如，艺术品 ）。 
二、本目录所称 “通用零件 ”，是指：  
（一）税目 73.07、73.12、73.15、73.17或73.18的物品及其他贱金属制的类似品，不包括专用于医疗、外科、
牙科或兽医的植入物（税目 90.21）； 
（二）贱金属制的弹簧及弹簧片，但钟表发条（税目 91.14）除外；  
（三）税目 83.01、83.02、83.08、83.10的物品及税目 83.06的贱金属制的框架及镜子。"
