code,name,description
010121,改良种用马,
010129,其他马，改良种用除外,
010130,驴,
010190,骡,
010221,改良种用家牛,
010229,其他家牛，改良种用除外,
010231,改良种用水牛,
010239,其他水牛，改良种用除外,
010290,其他牛,
010310,改良种用猪,
010391,其他猪，重量＜50kg,
010392,其他猪，重量≥50kg,
010410,绵羊,
010420,山羊,
010511,鸡，重量≤185g,
010512,火鸡,
010513,鸭,
010514,鹅,
010515,珍珠鸡,
010594,鸡，重量＞185g,
010599,鸭、鹅、火鸡及珍珠鸡，重量＞185克,
010611,灵长目动物,
010612,鲸、海豚及鼠海豚；海牛及儒艮；海豹、海狮及海象,
010613,骆驼及其他骆驼科动物,
010614,家兔及野兔,
010619,其他哺乳动物,
010620,爬行动物（包括蛇及龟、鳖）,
010631,猛禽,
010632,鹦形目鸟（包括普通鹦鹉、长尾鹦鹉等）,
010633,鸵鸟；鸸鹋,
010639,其他鸟,
010641,蜂,
010649,其他昆虫,
010690,其他活动物,
020110,鲜、冷整头及半头牛肉,
020120,鲜、冷带骨牛肉,
020130,鲜、冷去骨牛肉,
020210,冻整头及半头牛肉,
020220,冻带骨牛肉,
020230,冻去骨牛肉,
020311,鲜、冷整头及半头猪肉,
020312,鲜、冷带骨猪前腿、猪后腿及其肉块,
020319,其他鲜、冷猪肉,
020321,冻整头及半头猪肉,
020322,冻带骨猪前腿、猪后腿及其肉块,
020329,其他冻猪肉,
020410,鲜、冷整头及半头羔羊肉,
020421,鲜、冷整头及半头绵羊肉,
020422,鲜、冷带骨绵羊肉,
020423,鲜、冷去骨绵羊肉,
020430,冻整头及半头羔羊肉,
020441,冻整头及半头绵羊肉,
020442,冻带骨绵羊肉,
020443,冻去骨绵羊肉,
020450,鲜、冷、冻山羊肉,
020500,鲜、冷、冻马、驴、骡肉,
020610,鲜、冷牛杂碎,
020621,冻牛舌,
020622,冻牛肝,
020629,其他冻牛杂碎,
020630,鲜、冷猪杂碎,
020641,冻猪肝,
020649,其他冻猪杂碎,
020680,其他鲜、冷杂碎（牛、猪杂碎除外）,
020690,其他冻杂碎（牛、猪杂碎除外）,
020711,整只鸡，鲜或冷的,
020712,整只鸡，冻的,
020713,鸡块及杂碎，鲜或冷的,
020714,鸡块及杂碎，冻的,
020724,整只火鸡，鲜或冷的,
020725,整只火鸡，冻的,
020726,火鸡块及杂碎，鲜或冷的,
020727,火鸡块及杂碎，冻的,
020741,鲜或冷的整只鸭,
020742,整只冻鸭,
020743,鲜或冷的鸭肥肝,
020744,鲜或冷的鸭块及杂碎,
020745,冻的鸭块及杂碎,
020751,鲜或冷的整只鹅,
020752,整只冻鹅,
020753,鲜或冷的鹅肥肝,
020754,鲜或冷的鹅块及杂碎,
020755,冻的鹅块及杂碎,
020760,鲜、冷、冻的珍珠鸡及杂碎,
020810,鲜、冷、冻家兔或野兔肉及食用杂碎,
020830,鲜、冷、冻灵长目动物肉及食用杂碎,
