section,section_name,code,name,description,abstract,exclude
1类,活动物；动物产品,01,活动物,"本章包括所有活动物，但下列各项除外：  
一、税目 03.01、03.06、03.07或03.08的鱼、甲壳动物、软体动物及其他水生无脊椎动物；  
二、税目 30.02的培养微生物及其他产品；  
三、税目 95.08的动物。",所有活体动物,"鱼、甲壳动物、软体动物及其他水生无脊椎动物,03;  
培养微生物及其他产品,3002;  
流动马戏团、动物园或其他巡回展出用动物,9508;  
死亡且适合供人食用的动物,02、0410;  
死亡动物不适合食用的动物,0511;"
1类,活动物；动物产品,02,肉及食用杂碎,"本章不包括：  
一、税目 02.01至02.08或02.10的不适合供人食用的产品；  
二、可食用的死昆虫（税目  04.10）； 
三、动物的肠、膀胱、胃（税目 05.04）或动物血（税目 05.11、30.02） ；或 
四、税目02.09所列产品以外的动物脂肪（第十五章） 。",可供人食用的肉及杂碎,"不适食用动物肉,05;
可食用死昆虫,0410; 
肠、胃、膀胱,0504;
动物血,0511、3002;
动物脂肪（非不带瘦肉的脂肪）,15;"
1类,活动物；动物产品,03,"鱼、甲壳动物,软体动物及其他水生无脊椎动物","一、本章不包括：  
（一）税目 01.06的哺乳动物；  
（二）税目 01.06的哺乳动物的肉（税目 02.08或02.10）； 
（三）因品种或鲜度不适合供人食用的死鱼（包括鱼肝、鱼卵及鱼精等） 、死甲壳动物、死软体动物及其他死水生
无脊椎动物（第五章） ；不适合供人食用的鱼、甲壳动物、软体动物、其他水生无脊椎动物的粉、粒（税目
23.01） ；或 
（四）鲟鱼子酱及用鱼卵制成的鲟鱼子酱代用品（税目 16.04）。 
二、本章所称“团粒” ，是指直接挤压或加入少量粘合剂制成的粒状产品。  
三、税目 03.05至03.08不包括适合供人食用的细粉、粗粉及团粒（税目 03.09）。",食用水生动物：鲜、冷、冻、加工初级产品,"哺乳水生动物及其肉,0106、02;
不适食用的死水生动物,05; 
水生动物粉粒（非食用）,2301;
鱼子酱及代用品,1604;"
1类,活动物；动物产品,04,乳品;蛋品;天然蜂蜜;其他食用动物产品,"一、所称“乳” ，是指全脂乳及半脱脂或全脱脂的乳。  
二、税目 04.03所称“酸乳”可以浓缩或调味，可以含糖或其他甜味物质、水果、坚果、可可、巧克力、调味香料、咖啡
或咖啡提取物、其他植物或植物的部分、谷物或面包制品，但添加的任何物质不能用于全部或部分取代任何乳成分，
而且产品需保留酸乳的基本特征。  
三、税目 04.05所称： 
（一） “黄油” ，仅指从乳中提取的天然黄油、乳清黄油及调制黄油（新鲜、加盐或酸败的，包括罐装黄油） ，按重量
计乳脂含量在 80%及以上，但不超过 95%，乳的无脂固形物最大含量不超过 2%，以及水的最大含量不超过 16%。
黄油中不含添加的乳化剂，但可含有氯化钠、食用色素、中和盐及无害乳酸菌的培养物。  
（二） “乳酱”是一种油包水型可涂抹的乳状物，乳脂是该制品所含的唯一脂肪，按重量计其含量在 39%及以上，但
小于80%。 
四、乳清经浓缩并加入乳或乳脂制成的产品，若同时具有下列三种特性，则视为乳 酪归入税目 04.06： 
（一）按干重计乳脂含量在 5%及以上的 ； 
（二）按重量计干质成分至少为 70%，但不超过 85%的； 
（三）已成形或可以成形的。  
五、本章不包括：  
（一）不适宜供人食用的死昆虫（税目 05.11）； 
（二）按重量计乳糖含量（以干燥无水乳糖计）超过 95％的乳清制品（税目 17.02）； 
（三） 以一种物质 （例如， 油酸酯） 代替乳中一种或 多种天然成分 （例如， 丁酸酯） 而制得的产品 （税目 19.01或21.06）；
或 
（四）白蛋白（包括按重量计干质成分的乳清蛋白含量超过 80%的两种或两种以上的乳清蛋白浓缩物） （税目 35.02）
及球蛋白（税目 35.04）。 
六、税目 04.10所称“昆虫”是指全部或部分食用的死昆虫，新鲜的、冷藏的、冷冻的、干燥的、烟熏的、盐腌或盐渍的；
以及适合供人食用的昆虫的细粉和粗粉。但本税目不包括用其他方法制作或保藏的食用的死昆虫（第四类） 。  
 
子目注释：  
一、子目 0404.10所称“改性乳清” ，是指由乳清成分构成的制品，即全部或部分去除乳糖、蛋白或矿物质的乳清、加入
天然乳清成分的乳清及由混入天然乳清成分制成的产品。  
二、子目 0405.10所称“黄油” ，不包括脱水黄油及印度酥油（子目 0405.90）。",牛（羊）乳、酸乳、黄油、乳酱、乳酪、蛋品、天然蜂蜜、食用昆虫等,"不食用死昆虫,0511; 
乳糖>95%制品,1702; 
替代乳成分配制品, 1901、2106;
白蛋白/球蛋白,35;"
1类,活动物；动物产品,05,其他动物产品,"一、本章不包括：  
（一）食用产品（整个或切块的动物肠、膀胱和胃以及液态或干制的动物血除外） ；  
（二）生皮或毛皮（第四十一章、第四十三章） ，但税目 05.05的货品及税目 05.11的生皮或毛皮的边角废料仍归
入本章；  
（三）马毛及废马毛以外的动物纺织原料（第十一类） ；或  
（四）供制帚、制刷用的成束、成簇的材料（税目 96.03）。 
二、仅按长度而未按发根和发梢整理的人发，视为未加工品，归入税目 05.01。 
三、本目录所称“兽牙” ，是指象、河马、海象、一角鲸和野猪的长牙、犀角及其他动物的牙齿。  
四、本目录所称“马毛” ，是指马科、牛科动物的鬃毛和尾毛。税目 05.11主要包括马毛及废马毛，不论是否制成带衬
垫或不带衬垫的毛片。",人发、兽牙、马毛、动物血、肠胃膀胱等（非食用用途为主）,"食品（除肠胃膀胱和动物血）, ;
生皮毛,41、43; 
非马毛的纺织原料,11类;
制刷成品材料, 9603;"
2类,植物产品,06,活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,"一、除税目06.01的菊苣植物及其根以外，本章只包括 通常由苗圃或花店供应为种植或装饰用的活树及其他货品（包括植
物秧苗） ；但不包括马铃薯、洋葱、青葱、大蒜及其他第七章的产品。  
二、税目 06.03、06.04的各种货品，包括全部或部分用这些货品制成的花束、花篮、花圈及类似品，不论是否有其他
材料制成的附件。但这些货品不包括税目 97.01的拼贴画或类似的装饰板。",苗圃/花店供应的活植物、鳞茎、插花装饰用枝叶及组合制品,"蔬菜类如马铃薯/洋葱等,07章;
拼贴画等工艺品,9701;"
2类,植物产品,07,食用蔬菜、根及块茎,"一、本章不包括税目 12.14的草料。  
二、税目 07.09、07.10、07.11及07.12所称“蔬菜” ，包括食用的蘑菇、块菌、油橄榄、刺山柑、菜葫芦、南瓜、茄
子、甜玉米、辣椒、茴香菜、欧芹、细叶芹、龙蒿、水芹、甜茉乔栾那。  
三、税目 07.12包括干制的归入税目 07.01至07.11的各种蔬菜，但下列各项除外：  
（一）作蔬菜用的脱荚干豆（税目 07.13）； 
（二）税目 11.02至11.04所列形状的甜玉米；  
（三）马铃薯细粉、粗粉、粉末、粉片、颗粒及团粒（税目 11.05）； 
（四）用税目07.13的干豆制成的细粉、粗粉及粉末 （税目11.06）。 
四、本章不包括辣椒干及辣椒粉（税目 09.04）。 
五、税目 07.11适用于使用前在运输或贮存时仅为暂时保藏而进行处理（例如 ,使用二氧化硫气体、盐水、亚硫酸水或
其他防腐液）的蔬菜，但不适于直接食用。",鲜、冷、冻、干的蔬菜及可食用蘑菇/块菌；暂时保藏但不可直接食用的蔬菜,"草料,1214;
干豆（蔬菜豆）,0713;
加工粉状如土豆粉,1105;
辣椒干及粉,0904"
2类,植物产品,08,食用水果及坚果;柑桔属水果或甜瓜的果皮,"一、本章不包括非供食用的坚果或水果。  
二、冷藏的水果和坚果应按相应的鲜果税目归类。  
三、本章的干果可以部分复水或为下列目的进行其他处理：  
（一）为保藏或保持其稳定性（例如，经适度热处理或硫化处理、添加山梨酸或山梨酸钾） ；  
（二）为改进或保持其外观（例如，添加植物油或少量葡萄糖浆） 。  
但必须保持干果的特征。  
四、税目 08.12适用于使用前在运输或贮存时仅为暂时保藏而进行处理（例如，使用二氧化硫气体、盐水、亚硫酸水或其他防腐液）的水果及坚果，但不适于直接食用。",鲜、冷、冻、干水果与坚果；暂保藏不可直接食用的,"非食用水果坚果, ;"
2类,植物产品,09,咖啡、茶、马黛茶及调味香料,"一、税目 09.04至09.10所列产品的混合物，应按下列规定归类：  
（一）同一税目的两种或两种以上产品的混合物仍应归入该税目。  
（二）不同税目的两种或两种以上产品的混合物应归入税目 09.10。 
税目09.04至09.10的产品（或上述（一）或（二）项的混合物）如添加了其他物质，只要所得的混合物保持了原产品的基本特性，其归类应不受影响。基本特性已经改变的，则不应归入本章；构成混合调味品的，应归入税目 21.03。 
二、本章不包括荜澄茄椒或税目 12.11的其他产品。",主要包括天然植物来源的饮品原料和调味香料，如咖啡、茶、马黛茶及各类用于调味或增香的植物部分（果实、种子、根茎、花或树皮等）。本章涵盖一切以调味或香料为主要用途的植物原料，无论其形态为鲜、干、磨粉或暂时盐渍。,"混调香料改变基本特性,2103;
荜澄茄椒等,1211;"
2类,植物产品,10,谷物,"一、 
（一）本章各税目所列产品必须带有谷粒，不论是否成 穗或带杆。  
（二） 本章不包括已去壳或经其他加工的谷物。 但去壳、 碾磨、 磨光、 上光、 半熟或破碎的稻米仍应归入税目 10.06。
同样，已全部或部分去皮以分离皂苷，但没有经过任何其他加工的昆诺阿藜仍应归入税目 10.08。 
二、税目 10.05不包括甜玉米（第七章） 。  
 
子目注释：  
所称“硬粒小麦” ，是指硬粒小麦属的小麦及以该属具有相同染色体数目（ 28）的小麦种间杂交所得的小麦 。",带粒谷物（小麦、稻米、玉米等），含部分简单加工（稻米去壳等）,"已去壳且进一步加工的谷物,11;
甜玉米,07;"
